----------------------------------------------------------------------------------,,,,
Search Criteria: ,,,,
"Text Search: lung cancer (and);Search in: Projects 		AdminIC: All; Fiscal Year: Active Projects ",,,,
----------------------------------------------------------------------------------,,,,
Project Title,Organization Name,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
THE ORAL MICROBIOME AND UPPER AERODIGESTIVE SQUAMOUS CELL CANCER,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2015,350675,
RESPONSE-DRIVEN TREATMENT OF NON-SMALL CELL LUNG CANCER,UNIVERSITY OF MICHIGAN,2016,,284669
MOLECULAR DETERMINANTS OF GEMCITABINE (FRANKLIN HAYS),UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2016,,206429
SMOKING CESSATION IN LUNG CANCER SCREENING: INTEGRATED DIGITAL/CLINICAL APPROACH,MAYO CLINIC ROCHESTER,2016,615792,
PROJECT 12. PROTOCAL REVIEW,UNIVERSITY OF KENTUCKY,2016,,120631
NOVEL SCD1 INHIBITORS FOR TREATMENT OF CANCER,"MODULATION THERAPEUTICS, INC.",2016,279000,
AUTOPHAGY AND GG-NER IN UVB-INDUCED SKIN CANCER,UNIVERSITY OF CHICAGO,2016,355500,
TARGETING FGFR1 SIGNALING IN LUNG CANCER,UNIVERSITY OF COLORADO DENVER,2016,,273097
PROJECT 2: SPECIFICALLY TARGETING ONCOPROTEINS WITH PCC AGENT-LOADED NANOPARTICLES:  KRASG12D AND AKTE17K,CALIFORNIA INSTITUTE OF TECHNOLOGY,2016,,377219
METABOLISM OF CARCINOGENIC TOBACCO-SPECIFIC NITROSAMINES,UNIVERSITY OF MINNESOTA,2016,509276,
BENZO[A]PYRENE METABOLISM: PHENOTYPING AND GENOTYPING,UNIVERSITY OF MINNESOTA,2016,298238,
CORE A - ADMINISTRATIVE CORE,UNIVERSITY OF MINNESOTA,2016,,1638
PROJECT 4 - ORAL CELL DNA ADDUCTS AND URINARY BIOMARKERS TO INVESTIGATE ETHNIC/RACIAL DIFFERENCES IN LUNG CANCER SUSCEPTIBILITY,UNIVERSITY OF MINNESOTA,2016,,137376
MECHANISMS OF ETHNIC/RACIAL DIFFERENCES IN LUNG CANCER DUE TO CIGARETTE SMOKING,UNIVERSITY OF MINNESOTA,2016,2262372,
TRANSCRIPTIONAL CONTROL OF MONOCYTE DEVELOPMENT,LA JOLLA INST FOR ALLERGY & IMMUNOLGY,2016,628283,
COMPLEMENT & T CELL MEDICATED ALLOGRAFT REJECTION,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2016,487476,
CANCER IMMUNOTHERAPY CLINICAL TRIALS,DIVISION OF BASIC SCIENCES - NCI,2015,607000,
RADIATION BYSTANDER EFFECTS: MECHANISMS,COLUMBIA UNIVERSITY HEALTH SCIENCES,2014,1567789,
DCTD BIOPHARMACEUTICAL DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,6373511,
DCTD SCREENING TECHNOLOGIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,3579644,
MOLECULAR ASSAYS FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,3178242,
REPOSITORY SERVICES FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,2282355,
GENOTYPING FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,8145205,
DCTD COMPUTER SUPPORT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,3286993,
DCTD IN VIVO PRECLINICAL TESTING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,5276987,
DCTD HUMAN TOXICOLOGY AND PHARMACOLOGY,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,1141659,
OCG DATA COORDINATING CENTER,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,285600,
OCG WEB TRANSITION AND DEVELOPMENT ,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,19083,
DCTD CANCER IMAGING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2015,4098003,
DCTD BIOPHARMACEUTICAL DEVELOPMENT - TYPE 1 DIABETES RAID PROJECTS,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,107834,
DCTD BIOPHARMACEUTICAL DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,5333006,
DCTD SCREENING TECHNOLOGIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,4669431,
MOLECULAR ASSAYS FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,2990425,
REPOSITORY SERVICES FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,1671271,
GENOTYPING FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,7245137,
DCTD COMPUTER SUPPORT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,2767982,
DCTD IN VIVO PRECLINICAL TESTING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,6508050,
DCTD HUMAN TOXICOLOGY AND PHARMACOLOGY,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,1095585,
GCC GENOMIC CHARACTERIZATION CENTERS,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,12919000,
TOP-DOWN MS  ,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,200000,
THROMBOSIS IN CANCER PATIENTS  ,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,2800000,
NCI CANCER GENOMICS COMMONS,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,10000000,
OCG WEB TRANSITION AND DEVELOPMENT ,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,35000,
DCTD CANCER IMAGING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2014,3537972,
DCTD BIOPHARMACEUTICAL DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,7548939,
DCTD SCREENING TECHNOLOGIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,2528434,
MOLECULAR ASSAYS FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,2561365,
REPOSITORY SERVICES FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,1692154,
GENOTYPING FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,5261925,
DCTD COMPUTER SUPPORT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,1421384,
DCTD IN VIVO PRECLINICAL TESTING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,2244224,
DCTD HUMAN TOXICOLOGY AND PHARMACOLOGY,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,10785223,
DCTD PRECLINICAL IN VIVO/IN VITRO ASSAY DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,561055,
NCI CANCER GENOMICS COMMONS,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,10000000,
BCR SUPPORT FOR THE NCI TCGA PROGRAM,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,4400000,
BCR SUPPORT FOR PRECISION MEDICINE,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,3100000,
OCG WEB TRANSITION AND DEVELOPMENT ,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,150000,
DCTD CANCER IMAGING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2013,4331419,
DCTD BIOPHARMACEUTICAL DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,9577323,
DCTD SCREENING TECHNOLOGIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,2185989,
MOLECULAR ASSAYS FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,3342512,
REPOSITORY SERVICES FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,2574308,
GENOTYPING FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,6782930,
DCTD COMPUTER SUPPORT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,1986559,
DCTD IN VIVO PRECLINICAL TESTING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,1933191,
DCTD HUMAN TOXICOLOGY AND PHARMACOLOGY,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,11440830,
DCTD PRECLINICAL IN VIVO/IN VITRO ASSAY DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,721836,
DCTD CANCER IMAGING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,4187077,
DCTD BIOPHARMACEUTICAL DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,8170255,
DCTD SCREENING TECHNOLOGIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,1490565,
MOLECULAR ASSAYS FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,4749516,
REPOSITORY SERVICES FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,1978965,
GENOTYPING FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,6530584,
DCTD COMPUTER SUPPORT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,1490097,
DCTD IN VIVO PRECLINICAL TESTING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,1300356,
DCTD HUMAN TOXICOLOGY AND PHARMACOLOGY,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,3755545,
DCTD PRECLINICAL IN VIVO/IN VITRO ASSAY DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,706171,
DCTD CANCER IMAGING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2011,2743263,
INVESTIGATING NAPDH OXIDASES AND REDOX SIGNALING IN LUNG CANCER TUMORIGENICITY,WASHINGTON UNIVERSITY,2016,348844,
TUMOR AND METASTASIS BIOLOGY,DIVISION OF BASIC SCIENCES - NCI,2015,517906,
THE EFFECTS OF STIGMATIZING US AND DANISH SMOKERS,DICKINSON COLLEGE,2016,330176,
DEVELOPING A LUNG CANCER SCREENING REGISTRY IN A STATE WITH A HIGH SMOKING RATE,UNIV OF NORTH CAROLINA CHAPEL HILL,2015,165300,
EPIGENETIC CONTROL BY CYTOKINES THROUGH STAT TRANSCRIPTION FACTORS,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2015,420691,
INVESTIGATIONS OF REDOX-DEPENDENT PROCESSES OF THE AIRWAY EPITHELIUM,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,2016,59958,
PERSONALIZING NSCLC THERAPY: EXPLOITING KRAS ACTIVATED PATHWAYS,YALE UNIVERSITY,2015,554459,
YALE SPORE IN LUNG CANCER (YSILC): THE BIOLOGY AND PERSONALIZED TREATMENT OF LUNG CANCER,YALE UNIVERSITY,2016,715091,
ADMINISTRATIVE CORE,YALE UNIVERSITY,2016,,841293
YALE SPORE IN LUNG CANCER DEVELOPMENTAL RESEARCH PROGRAM,YALE UNIVERSITY,2016,,47249
YALE SPORE IN LUNG CANCER (YSILC): THE BIOLOGY AND PERSONALIZED TREATMENT OF LUNG CANCER,YALE UNIVERSITY,2016,2161996,
DESIGN; SYNTHESIS; AND EVALUATION OF LACTATE DEHYDROGENASE INHIBITORS,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,2015,421493,
SPORE IN LUNG CANCER,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2015,2185000,
ULTRASENSITIVE DETECTION OF TUMOR SPECIFIC DNA METHYLATION CHANGES FOR THE EARLY DETECTION OF LUNG CANCER˜,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,594647,
IGF::OT::IGF CORE INFRASTRUCTURE SUPPORT FOR SURVEILLANCE; EPIDEMIOLOGY AND END RESULTS (SEER)PERIOD OF PERFORMANCE: 05/01/2015 TO 04/30/2016,HAWAII UNIV,2015,1379356,
ASSESSING THE IMPACT OF CLEAN HEAT POLICY INTERVENTION IN NEW YORK CITY,COLUMBIA UNIVERSITY HEALTH SCIENCES,2015,200000,
FUNCTIONAL DISSECTION OF ONCOGENIC ENHANCERS,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,170856,
INVESTIGATING THE FUNCTION AND MECHANISM OF NANCI ACTIVITY DURING LUNG DEVELOPMENT,UNIVERSITY OF PENNSYLVANIA,2016,30400,
INTEGRATIVE GENOMICS OF CLINICAL SUBTYPES IN COPDGENE,BRIGHAM AND WOMEN'S HOSPITAL,2016,891352,
USING SWOG-MEDICARE DATABASE TO EVALUATE LONG-TERM TOXICITIES OF CANCER SURVIVORS,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,318652,
NEURONALLY ACTIVE PROTEINS IN IPF,YALE UNIVERSITY,2016,429656,
NEUROIMMUNE MOLECULES IN SCLERODERMA LUNG FIBROSIS,YALE UNIVERSITY,2016,434436,
CELL AND VECTOR PRODUCTION,BAYLOR COLLEGE OF MEDICINE,2016,,492027
CANCER CELL AND GENE THERAPY PROGRAM (PROJECT-005),BAYLOR COLLEGE OF MEDICINE,2016,,43684
MARKERS AND THERAPEUTIC STRATEGIES FOR OVERCOMING CHEMORADIOTHERAPY RESISTANCE,UNIVERSITY OF TX MD ANDERSON CAN CTR,2015,286702,
THERAPEUTIC APPROACHES FOR LKB1-DEFICIENT NON-SMALL CELL LUNG CANCER,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,620252,
NOVEL IMMUNOTHERAPY FOR BRAIN CANCER,"MAPP BIOPHARMACEUTICAL, INC.",2014,224988,
REGULATION OF TRANSCRIPTION AND TUMOR SUPPRESSION BY MTG FAMILY MEMBERS,VANDERBILT UNIVERSITY,2016,364000,
STABLE ISOTOPE RESOLVED METABOLOMICS ANALYTICAL SHARED CORE,UNIVERSITY OF KENTUCKY,2016,,330070
PROJECT 2: LOW NICOTINE CONTENT CIGARETTES IN VULNERABLE POPULATIONS:  P233-288,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,2016,,783396
MULTIMODAL IMAGE-GUIDED INTERVENTION SYSTEM FOR LUNG-CANCER DIAGNOSIS AND STAGING,PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,2014,369397,
DICER1 AND THE PLEUROPULMONARY BLASTOMA FAMILY CANCER SYNDROME,CHILDREN'S RESEARCH INSTITUTE,2016,425390,
4 OF 4: STUDY OF OSTEOPOROTIC FRACTURES (SOF),KAISER FOUNDATION RESEARCH INSTITUTE,2015,219928,
INVESTIGATING TARGETED DEGRADATION OF C-MET TO REALIZE MORE EFFECTIVE CANCER TREATMENT,YALE UNIVERSITY,2016,122382,
HETERODIMERIZATION OF CXCR4 AND CB2 INHIBITS PROSTATE CANCER CELL MOVEMENT,CLARK ATLANTA UNIVERSITY,2016,294500,
SQUAMOUS CELL CARCINOMA OF THE LUNG: VALIDATION OF MOLECULAR SIGNATURES FOR PROGN,UNIVERSITY OF COLORADO DENVER,2016,470018,
IDENTIFICATION OF GLUCOSE TRANSPORTER 3 INHIBITORS FOR GLIOBLASTOMA TREATMENT,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2016,264677,
THE VESIVAX? SYSTEM: VACCINE DEVELOPMENT MADE EASY,"MOLECULAR EXPRESS, INC.",2016,762253,
MICRORNA REGULATORY NETWORKS IN THORACIC CANCERS,DIVISION OF BASIC SCIENCES - NCI,2015,417198,
K-RAS MUTANT-SPECIFIC VULNERABILITIES FOR NOVEL PANCREATIC CANCER THERAPIES,UNIV OF NORTH CAROLINA CHAPEL HILL,2015,52406,
TELOMERASE FUNCTION IN HUMAN TUMOR AND STEM CELL BIOLOGY,UNIVERSITY OF CALIFORNIA BERKELEY,2016,341812,
REGULATION OF LYMPHOCYTE PROLIFERATION AND REPLICATIVE CAPACITY,DIVISION OF BASIC SCIENCES - NCI,2015,566996,
VACCINE AND DRUG COMBINATION THERAPY FOR HUMAN CANCERS,DIVISION OF BASIC SCIENCES - NCI,2015,517502,
VACCINE AND RADIATION FOR THE THERAPY OF HUMAN CANCERS,DIVISION OF BASIC SCIENCES - NCI,2015,517502,
TRIGGERING THE DOPAMINE PATHWAY TO INHIBIT LUNG CANCER PROGRESSION,UNIVERSITY OF MINNESOTA,2016,245268,
REPRIEVE - DCC,MASSACHUSETTS GENERAL HOSPITAL,2016,957177,
DECIPHERING THE MECHANISMS OF HOW THE RAF/MEK/ERK PATHWAY CONTROLS DENDRITIC CELL,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2016,38021,
TRAINING RURAL/UNDERSERVED YOUTH TO UNDERSTAND AND PURSUE SCIENTIFIC CAREERS,UNIVERSITY OF MONTANA,2016,241247,
TRANSGENIC ANIMAL MODELS OF HUMAN IMMUNE DEFECTS,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2015,1689851,
GENES AND GENE PRODUCTS AS IMMUNOADJUVANTS,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2015,1689851,
A DECISION AID WITH HRQL ASSESSMENT TO REDUCE COSTS IN THE TREATMENT OF NSCLC,UNIVERSITY OF VIRGINIA,2014,607647,
IMPACT OF UROLOGIST PRACTICE STRUCTURE ON PROSTATE CANCER CARE,UNIVERSITY OF MICHIGAN,2016,362271,
THYROID FOLLICULAR CELL DEVELOPMENT IN MICE AND HUMANS,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,396563,
IDENTIFYING EFFECTIVE IMMUNE CHECKPOINT THERAPY STRATEGIES IN TRIPLE NEGATIVE BREAST CANCER,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,52542,
A HIGH-THROUGHPUT MODEL FOR HUMAN MELANOMA,UNIVERSITY OF UTAH,2016,247340,
HIV-ASSOCIATED MALIGNANCIES (HIVAM),UNIVERSITY OF WASHINGTON,2016,,397766
NATIVE AMERICAN SHORT-TERM RESEARCH EDUCATION PROGRAM IN CHILDREN'S HEALTH,UNIVERSITY OF UTAH,2016,83268,
IMPROVING THE CLINICAL EFFECTIVENESS AND UNDERSTANDING OF THE BIOPHYSICAL BASIS,MASSACHUSETTS GENERAL HOSPITAL,2016,1912533,
HEALTH LITERACY AND SMOKING CESSATION IN LOW-SES; DIVERSE SMOKERS,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,166280,
PLCO TRIAL ETIOLOGIC AND EARLY MARKER STUDY,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,2139074,
CANCER GENETIC MARKERS OF SUSCEPTIBILITY,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,118607,
PLCO EEMS AND EXTENDED FOLLOW UP,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,664206,
COMMUNITY ENGAGEMENT AND OUTREACH CORE,MONTANA STATE UNIVERSITY - BOZEMAN,2016,,872005
SOCIAL-ECOLOGICAL FRAMEWORK TO IMPROVE YOUTH SMOKING OUTCOMES,GEORGE WASHINGTON UNIVERSITY,2015,167613,
DEVELOPMENT OF A NOVEL HIGH-THROUGHPUT SCREENING PLATFORM FOR BK CHANNEL MODULATO,BAYLOR COLLEGE OF MEDICINE,2015,260851,
TARGETING DCLK1 KINASE ACTIVITY IN PANCREATIC CANCER,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2016,83124,
IRS-1 REGULATES INFLAMMATORY CELL RECRUITMENT IN LUNG CANCER,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,396340,
'NEUTROPHIL ELASTASE LINKS IDIOPATHIC PULMONARY FIBROSIS AND LUNG CANCER',FRED HUTCHINSON CANCER RESEARCH CENTER,2016,428600,
DETECTION; PREVENTION AND TREATMENT OF ACUTE MYELOID LEUKEMIA (AML) RELAPSE.,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2015,2117028,
THE INFLAMMATORY CONSEQUENCE OF ARSENIC-MEDIATED UROTHELIAL ENDOCRINE DISRUPTION,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,2016,40176,
NANOPARTICLE DRUG DELIVERY  IN POST-PNEUMONECTOMY COMPENSATORY LUNG GROWTH,UT SOUTHWESTERN MEDICAL CENTER,2016,639273,
DEVELOPING TARGETED THERAPY WITH PROSTATE CANCER SPECIFIC NANOMEDICINE,UT SOUTHWESTERN MEDICAL CENTER,2016,315210,
IGF::OT::IGF IMPROVED COMPLETENESS OF TREATMENT AND OTHER KEY DATA ELEMENTS BY LINKAGES WITH 15-MONTH RESUBMITTED DATA FROM COMMISION ON CANCER HOSPITALS,LSU HEALTH SCIENCES CENTER,2015,55275,
GHANA CANCER REGISTRY - FROM HOSPITAL TO POPULATION: A PILOT STUDY,STANFORD UNIVERSITY,2016,200337,
TARGETING GLIOMA STEM CELLS BY PERTURBATION OF TELOMERE MAINTENANCE MECHANISMS,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,249000,
HDAC2 IN HDAC INHIBITOR-BASED THERAPY FOR CRC,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,319550,
FUNCTIONS OF IKK ALPHA IN SKIN HOMEOSTASIS AND SKIN TUMORIGENESIS,DIVISION OF BASIC SCIENCES - NCI,2015,523158,
ROLE OF IKK ALPHA IN LUNG CANCER DEVELOPMENT,DIVISION OF BASIC SCIENCES - NCI,2015,523158,
ROLE OF IKKALPHA IN LYMPHOID ORGAN DEVELOPMENT,DIVISION OF BASIC SCIENCES - NCI,2015,261580,
STATISTICAL METHODS FOR SURVIVAL AND RECURRENT EVENT DATA IN CLINICAL RESEARCH,JOHNS HOPKINS UNIVERSITY,2016,370575,
MOLECULAR MECHANISMS OF NICKEL-INDUCED TUMORIGENICITY.,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2016,279902,
NOVEL ROLE OF XIAP IN BLADDER CANCER INVASION,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2016,,351362
MECHANISMS UNDERLYING THERAPEUTIC EFFECT OF A NEW COMPOUND ISORHAPONTIGENIN (ISO),NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2016,351713,
PROCALCITONIN ANTIBIOTIC CONSENSUS TRIAL (PROACT),UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,961792,
SYMPTOM PROGRESS AND ADVERSE HEALTH OUTCOMES IN ADULT CHILDHOOD CANCER SURVIVORS,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,2016,233106,
ROLE OF TYPE III TGF-BETA RECEPTOR SHEDDING IN LUNG CANCER INITIATION AND PROGRESSION,DUKE UNIVERSITY,2016,45228,
A NOVEL STRATEGY TO IDENTIFY PROSTATE CANCER BIOMARKERS FOR PATIENT MANAGEMENT,DUKE UNIVERSITY,2016,329925,
INFLAMMATION; AGING; MICROBES; AND OBSTRUCTIVE LUNG DISEASE (I AM OLD) STUDY,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,734748,
NANO APPROACHES TO MODULATE HOST CELL RESPONSE FOR CANCER THERAPY,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,2512234,
DEVELOPMENT OF CIRCULATING BIOMARKER FOR LUNG CANCER,WISTAR INSTITUTE,2016,266623,
CDKN2B AS A NOVEL EPIGENETICALLY REGULATED GENE IN IDIOPATHIC PULMONARY FIBROSIS,UNIVERSITY OF MICHIGAN,2016,373827,
INTEGRATED TRAINING IN DEVELOPMENT AND CLINICAL PRACTICE OF CELL-BASED THERAPIES,UNIVERSITY OF MINNESOTA,2016,112506,
ZINC CHEMOPREVENTION OF ARSENIC CO-CARCINOGENESIS,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,314363,
IMMUNOLOGICAL FUNCTION AND POTENTIAL ROLE OF MICRORNA AS A NOVEL CANCER TREATMENT,UNIVERSITY OF UTAH,2016,27576,
PRECLINICAL DEVELOPMENT OF TEIXOBACTIN; A NEW ANTIBIOTIC,"NOVOBIOTIC PHARMACEUTICALS, LLC",2016,740926,
LOW COST DIAGNOSIS OF DISEASE USING SYNTHETIC DNA REACTIONS,BOISE STATE UNIVERSITY,2015,136807,
CONSISTENT ANATOMY REGISTRATION FOR LUNG CANCER ADAPTIVE RADIATION THERAPY,VIRGINIA COMMONWEALTH UNIVERSITY,2016,306493,
MOLECULAR MR IMAGING OF THE DESMOPLASTIC RESPONSE IN PANCREATIC CANCER,"COLLAGEN MEDICAL, LLC",2016,997515,
PREVENTING ANTHRACYCLINE CARDIOVASCULAR TOXICITY WITH STATINS,WAKE FOREST UNIVERSITY HEALTH SCIENCES,2016,900665,
INTERSTITIAL LUNG ABNORMALITIES: DEFINING THE PHENOTYPE; CAUSES; AND CONSEQUENCES,BRIGHAM AND WOMEN'S HOSPITAL,2016,716703,
THE ROLE OF HEPOXILIN A3 IN NEUTROPHIL BREACH OF THE INFECTED AIRWAY MUCOSA,MASSACHUSETTS GENERAL HOSPITAL,2016,439285,
THE ROLE OF T CELL AVIDITY IN DETERMINING TUMOR IMMUNITY AND AUTOIMMUNITY,DIVISION OF BASIC SCIENCES - NCI,2015,359316,
COMPARATIVE EFFECTIVENESS OF TREATMENT REGIMENS IN LUNG CANCER,HARVARD MEDICAL SCHOOL,2015,246622,
FORKHEAD-BOX (FOX) TRANSCRIPTION FACTORS IN THE PROGRESSION OF PANCREATIC CANCER,DIVISION OF BASIC SCIENCES - NCI,2015,156954,
CELL MIGRATION AND WOUND REPAIR,UNIVERSITY OF WISCONSIN-MADISON,2016,549797,
(PQC3) GENOMIC DIVERSITY AND MICROENVIRONMENT AS DRIVERS OF METASTASIS IN DCIS,DUKE UNIVERSITY,2016,490842,
THE MECHANISMS DRIVING BRAIN ONCOGENESIS BY FGFR-TACC GENE FUSIONS,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,366858,
NOVEL TOXINS AND RECEPTORS IN MUCORMYCOSIS PATHOGENESIS,LA BIOMED RES INST/ HARBOR UCLA MED CTR,2016,389490,
ROLE OF KALLIKREIN 6 EXPRESSION AND SECRETION IN COLON CANCER,UNIVERSITY OF ARIZONA,2016,313336,
DISCOVERY OF BRG1 INHIBITORS FOR BREAST CANCER THERAPY,UNIV OF MASSACHUSETTS MED SCH WORCESTER,2015,208538,
TRAINING IN LUNG SCIENCE,UNIVERSITY OF MINNESOTA,2016,817524,
MECHANOTRANSDUCTION ANALYSIS IN A MICROENGINEERED LUNG-ON-A-CHIP,HARVARD MEDICAL SCHOOL,2016,612248,
AUTOLOGOUS LUNG MULTIPOTENT STROMAL CELL THERAPY FOR EMPHYSEMA,BRIGHAM AND WOMEN'S HOSPITAL,2016,580117,
A NEW MODEL FOR DISCOVERING GENETIC DETERMINANTS OF ANGIOGENESIS AND THE EFFECT O,UNIV OF NORTH CAROLINA CHAPEL HILL,2015,198360,
STUDIES OF NON-IONIZING RADIATION-RELATED CANCER,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,335276,
THE BIOLOGY OF PERLECAN IN CANCER AND ANGIOGENESIS,THOMAS JEFFERSON UNIVERSITY,2016,356235,
MICROFLUIDIC TOOLS FOR PROBING NEUTROPHIL REVERSED MIGRATION,MASSACHUSETTS GENERAL HOSPITAL,2016,261000,
LYMPH NODE-TARGETED MOLECULAR VACCINES,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016,347181,
GROWTH REGULATION BY THE FAT SIGNALING PATHWAY,"RUTGERS, THE STATE UNIV OF N.J.",2016,284000,
